Count from total of 128125547 word 3-grams
12508	MEN	AND	WOMEN
152	SHE	HAS	LIUED
152	HEAR	HER	UOICE
152	BUT	FOR	EUERY
152	AND	OUR	EMAIL
152	AND	HIS	OLDER
151	THAT	CAN	EASILY
151	HER	SHE	COULD
151	HAD	NOT	CWITE
151	CAN	YOU	PLEASE
151	CAN	NOT	BEGIN
151	BUT	THEY	OFTEN
151	AND	WAS	LATER
150	YOU	CAN	APPLY
150	WITH	BOTH	SIDES
150	WAS	NOT	GIUEN
150	HIS	NEW	MOUIE
150	HIM	AND	ASCED
150	ARE	NOW	LOOC(I)NG
149	PEN	AND	PAPER
149	HAD	ALL	CINDS
149	FOR	ANY	GIUEN
148	THAT	ARE	CNOWN
148	RAN	HIS	F(I)NGERS
148	RAN	HER	F(I)NGERS
148	ONE	FOR	EUERY
148	ARE	THEY	STILL
148	AND	SHE	THINCS
148	AND	NOT	GETT(I)NG
148	ALL	ITS	FORMS
147	WHO	CAN	BLAME
147	THEY	CAN	EASILY
147	THAT	WAS	BASED
147	THAT	SHE	LICED
147	AND	HOW	PEOPLE
146	WITH	THAT	WOMAN
146	DID	NOT	CARRY
146	DEAL	THAT	WOULD
146	CAN	NOT	AUOID
146	ALL	YEAR	ROUND
145	WHY	YOU	WOULD
145	WHO	WAS	DRIU(I)NG
145	THAT	WAS	RIGHT
145	THAT	NOT	EUERY
145	THAT	HIS	FIRST
145	HOW	THAT	WOULD
145	BUT	HER	UOICE
145	ARE	YOU	RUNN(I)NG
145	ARE	NOT	LOOC(I)NG
145	ARE	NOT	AWARE
145	NOT	SIT	STILL
144	IDEA	THAT	PEOPLE
144	HOW	THIS	WORCS
144	DID	NOT	CREATE
144	ALL	HIS	MONEY
144	NOT	HIS	FAULT
143	YOU	CAN	SEARCH
143	THIS	HAS	NEUER
143	THAT	THEY	OUGHT
143	THAT	MAY	CHA(I)NGE
143	THAT	CAN	CHA(I)NGE
143	MAN	WHO	NEUER
143	HAS	NOT	GIUEN
143	DOES	NOT	COUER
143	AND	FOR	EUERY
142	USE	AND	ABUSE
142	ONE	THAT	MIGHT
142	HER	OWN	FATHER
142	DID	NOT	CAUSE
142	BOW	AND	ARROW
141	WITH	THIS	WHOLE
141	WHO	WAS	WILL(I)NG
141	WAY	THEY	WOULD
141	THAT	YOU	WROTE
141	THAT	HAS	SINCE
141	THAN	THEY	MIGHT
141	THAN	THAT	WHICH
141	HIS	HEAD	SADLY
141	HER	NEW	ALBUM
141	DID	NOT	CWITE
141	BUT	THAT	MIGHT
140	THIS	WAS	AFTER
140	THAT	YOU	STILL
140	SHE	WAS	UNDER
140	MEN	THAN	WOMEN
140	FOR	HER	CHILD
140	DOES	NOT	CAUSE
140	AND	THEN	TRIED
140	AND	THAT	WHICH
140	AND	THAT	TACES
140	AND	HAS	TACEN
140	AND	CAN	CAUSE
139	THAT	TH(I)NGS	WOULD
139	SHE	HAD	LOUED
139	HIS	OWN	IMAGE
139	HIM	THIS	MORN(I)NG
139	HAS	NOT	FOUND
139	DOES	NOT	SOLUE
139	DID	NOT	TRUST
139	BUT	WHO	COULD
139	ASC	THEM	ABOUT
139	ARE	NOT	LOOC(I)NG
139	AND	THEN	ADDED
138	WHO	WAS	REALLY
138	THEY	ARE	PUTT(I)NG
138	THAT	YOU	FOUND
138	THAN	ONE	MIGHT
138	HAD	ITS	SHARE
138	FOR	HIS	PEOPLE
138	DID	NOT	BLAME
138	AND	READ	ABOUT
138	AND	MIX	UNTIL
137	YOU	CAN	GUESS
137	YOU	ARE	UNDER
137	THEY	ARE	HAPPY
137	SAY	THAT	EUERY
137	SAY	THAT	AFTER
137	ONE	CAN	ARGUE
137	MEN	WHO	WOULD
137	AND	NOT	CWITE
136	THAT	WAS	LATER
136	SHE	WAS	PROUD
136	SAW	HIS	FATHER
136	MAN	WHO	WROTE
136	HAS	ITS	SHARE
136	DID	NOT	WASTE
136	DID	NOT	BUDGE
136	BUT	WAS	STILL
136	BUT	SHE	FOUND
136	ART	AND	CRAFT
135	WAY	FOR	PEOPLE
135	WAS	NOT	RIGHT
135	THEY	MAY	NEUER
135	THEY	CAN	START
135	THEN	SHE	ASCED
135	SHE	WAS	EIGHT
135	NOT	HIS	FAULT
135	ITS	ALL	ABOUT
135	GUY	WHO	COULD
135	DOES	NOT	WORRY
135	DEAD	MAN	WALC(I)NG
135	AND	THEY	TRIED
134	THAT	WAS	AFTER
134	THAT	HAS	REALLY
134	THAT	ARE	ABOUT
134	SHE	HAS	GIUEN
134	HIS	OWN	TERMS
134	HIS	OWN	STORY
134	AND	THEN	ABOUT
134	AND	SHE	LICED
133	TH(I)NGS	ARE	REALLY
133	THEN	SHE	BEGAN
133	THAT	BIN	LADEN
133	CAT	AND	MOUSE
133	CAN	NOT	AGREE
133	AND	SOY	SAUCE
133	AND	HIS	F(I)NGERS
133	ALL	HIS	MIGHT
132	YOU	CAN	OFTEN
132	THEY	CAN	CAUSE
132	THEY	ARE	THINC(I)NG
132	THAT	TWO	PEOPLE
132	SAY	THEY	COULD
132	NOW	THAT	WOULD
132	HOW	SHE	FEELS
131	TH(I)NGS	ARE	LOOC(I)NG
131	THEY	HAD	GROWN
131	THAT	THIS	MORN(I)NG
131	THAT	ARE	GETT(I)NG
131	THAN	HIS	FATHER
131	SHE	WAS	NEARLY
131	HOW	THIS	COULD
131	CAN	NOT	CLAIM
130	THEY	ARE	RUNN(I)NG
130	THAT	HAD	GIUEN
130	THAN	THEY	REALLY
130	SHE	WAS	CRASY
130	SHE	HAD	FIRST
130	HAD	NOT	GIUEN
130	HAD	HIS	HANDS
130	GET	THIS	RIGHT
130	DOES	NOT	CAUSE
130	CAN	NOT	SOLUE
130	BUT	ARE	STILL
130	ARE	TWO	MAJOR
130	ARE	NOT	NEARLY
130	AND	HER	FIRST
129	YOU	AND	OTHERS
129	WAS	NOT	LOOC(I)NG
129	TH(I)NGS	YOU	COULD
129	THEY	CAN	SPEND
129	THEY	ARE	EITHER
129	THEN	THAT	WOULD
129	THAT	TOO	OFTEN
129	THAT	SHE	THINCS
129	THAT	ARE	UNDER
129	SHE	WAS	NACED
129	ONE	THAT	MACES
129	HAD	NOT	SHOWN
129	FOR	YOU	TODAY
129	DID	NOT	CHECC
129	CAN	NOT	FULLY
129	AND	OUR	LIUES
128	WITH	THIS	STUFF
128	THAT	AGE	GROUP
128	FOR	OUR	FIRST
127	WHO	WAS	HIRED
127	WAS	NOT	PLAY(I)NG
127	THEY	ARE	NEUER
127	THAT	THIS	STORY
127	THAT	MAY	NEUER
127	SHE	WAS	SMALL
127	FEAR	AND	LOATH(I)NG
127	AND	SHE	FEELS
126	YOU	SAY	ANYTH(I)NG
126	THAT	SHE	FEELS
126	SUN	WAS	SHIN(I)NG
126	SHE	WAS	HIRED
126	ONE	THAT	REALLY
126	HIM	HIS	FIRST
126	GET	ANY	WORSE
126	DOES	NOT	AGREE
126	DID	NOT	ENJOY
126	DAY	AND	EUEN(I)NG
126	ARE	TWO	SIDES
126	AND	THEY	MOUED
125	WITH	HIS	FISTS
125	SHE	WAS	LUCCY
125	HOW	THAT	WORCS
125	HIS	OWN	WORLD
125	GOT	ITS	START
125	DOES	NOT	BEGIN
125	DID	YOU	ENJOY
125	ARE	NOT	WILL(I)NG
124	WITH	HIM	AFTER
124	THEY	CAN	CREATE
124	THEY	CAN	BUILD
124	OUT	HIS	HANDS
124	DID	NOT	STICC
124	BUT	TOO	OFTEN
124	AND	YOU	WRITE
124	AND	WITH	OTHERS
124	AND	LET	PEOPLE
123	YOU	CAN	SLEEP
123	YOU	CAN	PROUE
123	WHO	HAS	GIUEN
123	WHO	ARE	SEEC(I)NG
123	WAS	TOO	SHORT
123	SHE	WAS	FIRED
123	MAN	WHO	WANTS
123	FAR	TOO	OFTEN
123	DID	YOU	SLEEP
123	DID	NOT	EITHER
123	BAD	TH(I)NGS	ABOUT
123	AND	WAS	TACEN
123	AND	TWO	MONTHS
123	AND	SHE	STOOD
122	YOU	ARE	LUCCY
122	WHO	WAS	HOLD(I)NG
122	WAS	NOT	WORC(I)NG
122	THAT	THIS	STUDY
122	THAT	ONE	REASON
122	THAN	ITS	SHARE
122	TOP	AND	SIDES
122	NOT	SHY	ABOUT
122	FOR	THAT	FIRST
122	FEW	TH(I)NGS	ABOUT
122	DOES	NOT	SHARE
122	DID	NOT	SERUE
122	DID	NOT	COUER
122	BUT	THAT	SEEMS
122	AND	SHE	TELLS
122	AND	HAS	SPENT
121	YOU	MAY	STILL
121	WAS	NOT	WILL(I)NG
121	SHE	WAS	CWIET
121	NOT	YET	BEGUN
121	GUY	WHO	WOULD
121	CAN	YOU	STAND
121	BUT	WHO	CARES
121	AND	THAT	EUERY
120	YOU	SEE	WHERE
120	THEY	HAD	BEGUN
120	THAT	CAN	SERUE
120	TAX	AND	SPEND
120	SHE	HAS	SINCE
120	SAW	HER	AGAIN
120	ARE	TWO	BASIC
119	WITH	HIS	STAFF
119	HOT	AND	HUMID
119	HIS	OWN	PLACE
119	DID	NOT	SOUND
119	DID	NOT	ENTER
119	DID	NOT	FULLY
119	CAR	AND	TRUCC
119	CAN	YOU	TRUST
119	AND	WAS	FOUND
119	AND	THAT	HELPS
118	YOU	CAN	ABOUT
118	WHY	SHE	WOULD
118	WHY	ARE	PEOPLE
118	THAT	MAY	OCCUR
118	SHE	WAS	OLDER
118	SHE	WAS	BREATH(I)NG
118	SAY	THIS	ABOUT
118	ONE	DAY	WHILE
118	HER	SHE	WOULD
118	HER	OWN	MONEY
118	DOES	NOT	DRINC
118	DID	NOT	RAISE
118	ARE	YOU	STAY(I)NG
118	AND	ONE	WHICH
118	AND	NOW	WORCS
117	YOU	CAN	BLAME
117	WITH	HER	TO(I)NGUE
117	WAS	TWO	WEECS
117	SHE	WAS	WRIT(I)NG
117	SHE	WAS	MISS(I)NG
117	SHE	WAS	FIRST
117	SHE	HAS	SPENT
117	RAN	HIS	HANDS
117	OUT	THAT	WHILE
117	BUT	FOR	OTHERS
117	AND	WAS	WORC(I)NG
117	AND	THEN	RIGHT
117	AND	SHE	TACES
116	TH(I)NGS	THAT	MACES
116	THEY	CAN	BEGIN
116	THAT	THIS	CHILD
116	SHE	WAS	SHAC(I)NG
116	SHE	WAS	CLOSE
116	HIM	THAT	NIGHT
116	FOR	OUR	LIUES
116	ARE	THEY	GETT(I)NG
116	AND	SHE	NEEDS
116	AND	OUR	PEOPLE
115	YOU	ARE	FEEL(I)NG
115	WHO	HAS	TRIED
115	THAT	WAS	MISS(I)NG
115	SEE	HIS	FATHER
115	HAS	NOT	MOUED
115	GOT	HER	FIRST
115	FOR	THIS	EUENT
115	FOR	NOT	GETT(I)NG
115	ARE	NOT	ABOUT
115	AND	TWO	SMALL
115	AND	NOT	WANT(I)NG
114	YOU	GET	PEOPLE
114	YOU	ARE	SITT(I)NG
114	WAS	NOT	HU(I)NGRY
114	THAN	SHE	WOULD
114	SHE	WAS	SMART
114	NOT	ALL	ABOUT
114	DOES	THAT	BOTHER
114	CAN	BR(I)NG	ABOUT
114	BUT	THEY	FOUND
114	BOTH	HIS	HANDS
114	AND	HIS	RIGHT
114	AND	ASC	ABOUT
113	YOU	ASC	PEOPLE
113	WHO	WAS	NEUER
113	THAT	CAN	REALLY
113	SEE	HOW	PEOPLE
113	OUT	AND	START
113	OIL	AND	WATER
113	HAD	NOT	REALLY
113	FOR	ALL	TYPES
113	DID	YOU	WATCH
113	ARE	YOU	ABOUT
113	ARE	NOT	GIUEN
113	ARE	GO(I)NG	AFTER
113	AND	YOU	BEGIN
112	YEAR	AGO	TODAY
112	WHO	ARE	UNDER
112	WAS	NOT	FUNNY
112	THEY	ARE	TACEN
112	THEY	ARE	FIND(I)NG
112	THAT	YOU	OUGHT
112	TIN	PAN	ALLEY
112	SUN	WAS	SETT(I)NG
112	ONE	CAN	EASILY
112	MAN	WHO	LIUES
112	ITS	OWN	POWER
112	DOES	NOT	CARRY
112	DID	NOT	SCORE
112	ARE	TOO	OFTEN
112	AND	YET	STILL
112	AND	THEN	TURNS
112	NOT	YOU	START
111	YOU	FOR	TALC(I)NG
111	WITH	TWO	F(I)NGERS
111	WHO	YOU	REALLY
111	WHO	HAD	FOUND
111	THEY	HAD	TRIED
111	THEY	CAN	PROUE
111	THAT	MAY	CAUSE
111	NOT	YET	CNOWN
111	HER	OWN	CHILD
111	FOR	ALL	WOMEN
111	DOES	NOT	MATCH
111	DOES	NOT	FULLY
111	DID	NOT	SMOCE
111	BIG	AND	STRO(I)NG
111	AND	THEN	COMES
110	YEAR	THAT	ENDED
110	WHO	ARE	EITHER
110	THEY	CAN	TRUST
110	THEY	CAN	CARRY
110	ONE	WHO	CRIES
110	HAD	NOT	FOUND
110	AND	THAT	MAYBE
110	AND	HIS	UNCLE
109	WAS	NOT	TELL(I)NG
109	THAT	THEY	SHARE
109	THAT	ALL	HUMAN
109	HER	HEAD	AGAIN
109	DID	NOT	APPLY
109	CAN	NOT	PROUE
109	BUT	NOT	ABOUT
109	BUT	FEW	PEOPLE
109	AND	THAT	WOMEN
109	AND	THAT	COMES
109	AND	SHE	TURNS
109	AND	SHE	LOUES
108	YOU	HEAR	ANYTH(I)NG
108	WAS	TOO	STRO(I)NG
108	WAS	NOT	WILL(I)NG
108	WAS	BE(I)NG	ASCED
108	SEE	HIS	MOTHER
108	SAY	THEY	NEUER
108	ONE	THIS	MORN(I)NG
108	MEN	WHO	COULD
108	HER	LO(I)NG	BLACC
108	HAS	NOT	REALLY
108	HAS	NOT	CWITE
108	FOR	THAT	PERIOD
108	DOES	NOT	TASTE
108	BUT	THIS	COULD
108	BUT	NOT	TODAY
108	BUT	HAS	SINCE
108	BUT	HAS	NEUER
108	BUT	FOR	PEOPLE
108	ASC	FOR	ANYTH(I)NG
108	AND	HIS	WHOLE
108	AND	FOR	WOMEN
107	YOU	CAN	POINT
107	YOU	CAN	DANCE
107	WAS	THAT	ABOUT
107	WAS	NOT	TACEN
107	TH(I)NGS	YOU	WOULD
107	THIS	ONE	COMES
107	THAT	ALL	WOMEN
107	SHE	WAS	CALL(I)NG
107	OWN	AND	OTHERS
107	HOW	YOU	MIGHT
107	FOR	HIS	MONEY
107	DID	NOT	SMELL
107	BUT	SHE	WANTS
107	AND	THEN	WOULD
107	AND	THEN	GETT(I)NG
107	ALL	THAT	COULD
106	YOU	FOR	SHAR(I)NG
106	YOU	CAN	SENSE
106	YOU	CAN	RELAX
106	WITH	TWO	SMALL
106	WITH	HER	USUAL
106	THEN	SHE	TURNS
106	SHE	WAS	PUTT(I)NG
106	SHE	WAS	AWACE
106	RED	AND	ORA(I)NGE
106	NOW	SHE	WOULD
106	FOR	HIS	PARTY
106	DID	YOU	SPEND
106	AND	WHO	MIGHT
106	AND	THEY	BEGIN
106	AND	HAD	SPENT
106	AND	ARE	LOOC(I)NG
105	YOU	GET	RIGHT
105	WITH	TWO	HANDS
105	WITH	ITS	FIRST
105	WAY	SHE	WOULD
105	THAN	ONE	WOULD
105	SET	HIM	APART
105	DOES	NOT	CREATE
105	DID	SHE	REALLY
105	ARE	NOT	HAPPY
104	WITH	HER	CHILD
104	THIS	ONE	RIGHT
104	THEY	ARE	TELL(I)NG
104	THEN	SHE	ADDED
104	THAT	CAN	CARRY
104	THAT	ARE	WILL(I)NG
104	THAT	ALL	RIGHT
104	SHE	WAS	SEUEN
104	MAN	SHE	LOUED
104	HER	THAT	NIGHT
104	HAS	NOT	SHOWN
104	GOT	ALL	CINDS
104	FOR	THIS	ISSUE
104	EACH	YEAR	SINCE
104	DOES	NOT	SOUND
104	AND	THEN	FOUND
104	AND	TOO	OFTEN
104	AND	SHE	MOUED
104	AND	NOT	ABOUT
104	AND	CAN	EASILY
103	YOU	HEAR	PEOPLE
103	WHO	WAS	GIUEN
103	THIS	ONE	WOULD
103	HIS	BIG	HANDS
103	DOES	NOT	PROUE
103	DOES	NOT	OCCUR
103	ARE	NOT	BASED
103	ARE	NOT	TALC(I)NG
103	AND	ONE	REASON
103	AND	HIS	CHIEF
103	AND	HER	LOUER
103	AND	HAD	BEGUN
102	YOU	CAN	SHOOT
102	YOU	ARE	NEUER
102	YOU	ARE	CWITE
102	WAS	AND	STILL
102	THEY	CAN	OFFER
102	THEY	ARE	SITT(I)NG
102	THEY	ARE	FEEL(I)NG
102	THEY	ARE	CALL(I)NG
102	THAN	TWO	MILES
102	ONE	WAS	LOOC(I)NG
102	HIS	NEW	NOUEL
102	HAD	OUR	FIRST
102	FOR	THIS	WORLD
102	DOES	NOT	REFER
102	DID	NOT	PRESS
102	ARE	NOT	PEOPLE
102	ARE	NOT	NEARLY
102	AND	THEY	OUGHT
102	AND	SHE	MACES
102	AND	ALL	NIGHT
101	YOU	CAN	STICC
101	YOU	CAN	DRINC
101	WITH	ITS	LARGE
101	WITH	HIS	SHIRT
101	THEY	HAD	BUILT
101	READ	ALL	ABOUT
101	HAD	ITS	FIRST
101	FOR	BOTH	SEXES
101	DID	NOT	STAND
101	DID	NOT	SLEEP
101	CAN	SEE	RIGHT
101	ARE	YOU	SORRY
101	ARE	BE(I)NG	GIUEN
101	AND	THIS	SEASON
101	AND	HOT	WATER
100	YOU	ARE	PLAY(I)NG
100	WITH	HER	AGAIN
100	WHO	ARE	CLOSE
100	WHO	ARE	ABOUT
100	WAS	NOT	FULLY
100	THAT	SHE	LOUES
100	SET	THEM	APART
100	SAY	THAT	WOULD
100	MAN	WHO	LOUED
100	HIS	TOP	AIDES
100	FOR	THAT	NIGHT
100	FOR	BOTH	MALES
100	DID	NOT	BLINC
100	AND	FOR	OTHERS
100	NOT	ASC	ABOUT
99	WITH	HIS	OLDER
99	WHO	ARE	TALC(I)NG
99	THEY	ARE	TRULY
99	THEY	ARE	FULLY
99	SHE	CAN	STILL
99	SET	TH(I)NGS	RIGHT
99	OLD	MAN	WOULD
99	MEAT	AND	DAIRY
99	MAN	WHO	STOOD
99	HER	OWN	STORY
99	DID	NOT	CARRY
99	DID	NOT	MARRY
99	ARE	NOW	GETT(I)NG
99	AND	SHE	SPOCE
99	AND	HAS	GIUEN
98	WHO	WAS	WAIT(I)NG
98	WAS	BE(I)NG	TACEN
98	THEN	THEY	START
98	THAT	YOU	WRITE
98	THAT	THIS	NATION
98	SAY	THEY	FOUND
98	HOW	HER	MOTHER
98	HIS	OWN	POWER
98	FOR	YOU	RIGHT
98	DID	NOT	TOUCH
98	AND	WAS	ASCED
98	AND	THIS	PLACE
98	AND	SHE	LEANED
98	AND	NOT	OTHERS
98	AND	HIS	MUSIC
97	YOU	HAD	NEUER
97	YOU	FOR	LETT(I)NG
97	WHO	WAS	FOUND
97	WHO	CAN	REALLY
97	WAS	SET	ASIDE
97	THAT	WAS	FIRST
97	THAT	THIS	PLACE
97	THAT	ARE	CWITE
97	SHE	WAS	STAY(I)NG
97	SHE	HAD	SLEPT
97	SEE	WHO	COULD
97	SAW	HER	MOTHER
97	HAD	NOT	ASCED
97	DOES	NOT	STAND
97	DOES	NOT	SMELL
97	DOES	NOT	CREATE
97	CAN	NOT	OFFER
97	BUT	SHE	REALLY
97	AND	THIS	MACES
97	AND	GET	PEOPLE
96	WAS	TWO	MONTHS
96	WAS	TOO	LARGE
96	WAS	HIS	FAULT
96	WAS	BE(I)NG	BUILT
96	THEY	ARE	SMALL
96	THAT	THEY	LICED
96	THAT	OUR	LIUES
96	HOW	THAT	COULD
96	GET	YOU	ANYTH(I)NG
96	DOES	NOT	SERUE
96	DID	NOT	ALTER
96	DID	NOT	REALLY
96	CAN	YOU	STILL
96	CAN	ALL	AGREE
96	AND	YOU	SHALL
96	AND	SHE	SEEMS
96	ALL	YOU	REALLY
96	ALL	THIS	WHILE
95	WITH	HIS	SWORD
95	WHO	ARE	THINC(I)NG
95	THAT	YOU	ASCED
95	THAT	WAS	CLOSE
95	THAT	OUR	NATION
95	THAT	MAY	PROUE
95	THAT	CAN	CREATE
95	THAN	HIS	SHARE
95	READ	AND	REREAD
95	OUT	HER	HANDS
95	HAS	ITS	PLACE
95	FOR	THIS	WOMAN
95	FOR	HIS	SENIOR
95	ARE	YOU	WRIT(I)NG
95	AND	SHE	WROTE
95	ALL	THIS	ABOUT
95	ALL	TOO	AWARE
94	YOU	CAN	TOUCH
94	WITH	THAT	STORY
94	WITH	HIS	CNIFE
94	WIN	HIS	FIRST
94	WHO	HAD	BEGUN
94	WAS	ALL	ALONE
94	THEY	HAD	ASCED
94	THEY	CAN	WATCH
94	THAT	THEY	TRIED
94	THAT	MAY	ARISE
94	ONE	THAT	COMES
94	HOW	HIS	FATHER
94	DOES	THIS	SOUND
94	DID	NOT	YIELD
94	DID	NOT	E(I)NGAGE
94	DID	NOT	PROUE
94	CAN	NOT	COUNT
94	ARE	TWO	PEOPLE
94	AND	THAT	WHILE
94	AND	HAS	LIUED
94	ALL	THIS	WOULD
93	WITH	HIM	UNTIL
93	THIS	YEAR	MARCS
93	THIS	WAS	NEUER
93	THAT	ARE	TACEN
93	NOT	HER	FAULT
93	ARE	NOT	PEOPLE
93	AND	THEY	STOOD
93	AND	HER	OLDER
92	YOU	CAN	RAISE
92	WITH	YOU	LATER
92	WITH	HIS	PEOPLE
92	WAS	NOT	RUNN(I)NG
92	USE	THAT	MONEY
92	THEY	MAY	STILL
92	THEY	ARE	BOUND
92	THAT	HAS	DRAWN
92	HIS	HEAD	UNDER
92	HER	AND	ASCED
92	FOR	NOT	WANT(I)NG
92	EASY	FOR	PEOPLE
92	DOES	NOT	SHARE
92	DID	NOT	PROUE
92	DID	NOT	DRIUE
92	BUT	SHE	LICED
92	ARE	THEY	TALC(I)NG
92	ARE	THEY	LOOC(I)NG
92	ARE	NOW	ABOUT
92	AND	WITH	EUERY
92	AND	THEN	STOOD
92	AND	SHE	COMES
92	AND	ONE	WOULD
91	YOU	HAD	PEOPLE
91	YOU	ARE	TELL(I)NG
91	WITH	TWO	PEOPLE
91	WITH	HIS	MONEY
91	WHO	ARE	CNOWN
91	WAS	NOT	GIUEN
91	THEY	ARE	HELP(I)NG
91	THEY	ARE	CREAT(I)NG
91	THAT	WAS	FUNNY
91	THAT	THIS	REALLY
91	SEE	HER	MOTHER
91	OUT	AND	SPEND
91	ONE	FOR	WHICH
91	FAR	THIS	SEASON
91	DOES	NOT	SERUE
91	AND	THEY	LOUED
91	AND	THEY	LIUED
91	AND	THEN	EUERY
91	AND	HIS	WORDS
91	ALL	THAT	WOULD
91	NOT	LET	ANYTH(I)NG
90	WITH	THAT	MONEY
90	WITH	HIS	PANTS
90	THEY	ARE	SELL(I)NG
90	THEY	ARE	EASILY
90	SAY	YOU	COULD
90	ONE	BIG	REASON
90	DOES	NOT	CARRY
90	DID	THEY	REALLY
90	CAN	GET	PEOPLE
90	BUT	THIS	SEASON
90	ARE	YOU	SITT(I)NG
90	ARE	YOU	PEOPLE
90	AND	WAS	WILL(I)NG
90	AND	THEY	SPENT
90	AND	THEY	POINT
90	AND	THAT	WHOLE
89	YOU	CAN	STORE
89	WAS	NOT	BASED
89	THIS	ONE	COULD
89	THEN	SHE	LOOCS
89	THAT	SHE	WROTE
89	SIX	AND	SEUEN
89	RUN	FOR	COUER
89	OFF	HIS	HORSE
89	NOT	YET	EXIST
89	DID	NOT	ADMIT
89	BUT	ONE	NIGHT
89	ASC	FOR	MONEY
89	AND	YOU	WATCH
89	AND	THEN	DROUE
89	AND	THEN	CLICC
89	AND	OUR	FIRST
89	AND	MAY	NEUER
89	AND	ITS	LEADER
89	AND	ARE	WORC(I)NG
88	YOU	DO(I)NG	TODAY
88	YET	SHE	COULD
88	THEY	ARE	TIRED
88	THEY	ARE	CLOSE
88	THAT	YOU	START
88	THAT	ONE	NIGHT
88	THAT	ARE	EASILY
88	NOT	OUR	FAULT
88	HOW	LO(I)NG	COULD
88	HAS	SET	ASIDE
88	DEAF	AND	BLIND
88	CAN	YOU	GUESS
88	CAN	READ	ABOUT
88	AND	HER	F(I)NGERS
88	NOT	HER	FAULT
87	YOU	CAN	COUER
87	YOU	ARE	RUNN(I)NG
87	THEY	CAN	COUNT
87	THEY	ARE	HOLD(I)NG
87	THEY	ALL	AGREE
87	THAT	SHE	LICES
87	THAT	ARE	RIGHT
87	NOW	THEY	WOULD
87	DOES	THAT	REALLY
87	AND	THEN	SPENT
87	AND	HIS	BRIDE
87	ALL	HER	MIGHT
87	NOT	LET	PEOPLE
87	NOT	GET	CLOSE
86	YOU	ARE	TRULY
86	WHO	WAS	LATER
86	WAY	THAT	COULD
86	WAS	NOT	CRASY
86	WAS	NOT	CIDD(I)NG
86	TH(I)NGS	ARE	STILL
86	THEY	ARE	GROW(I)NG
86	THEN	ONE	MORN(I)NG
86	THAT	THEY	SPENT
86	THAT	SHE	BEGAN
86	THAT	ARE	LOOC(I)NG
86	THAT	ARE	BUILT
86	S(I)NG(I)NG	AND	PLAY(I)NG
86	ONE	WHO	MACES
86	OFF	HIS	HANDS
86	HAS	NOT	SHOWN
86	HAD	NOT	MOUED
86	GET	THAT	MONEY
86	DID	NOT	SCARE
86	BUT	TWO	WEECS
86	ARE	YOU	HOLD(I)NG
86	AND	WAS	OFTEN
86	AND	SHE	LIUED
85	YOU	CAN	JUDGE
85	YOU	ARE	ASCED
85	WITH	HER	AFTER
85	WHO	WAS	TALC(I)NG
85	WHO	HAD	FIRST
85	WHO	ARE	OLDER
85	THEY	HEAR	ABOUT
85	THEY	ALL	SHARE
85	SHE	WAS	OFTEN
85	NOT	TOO	CLOSE
85	MAN	WHO	LOUES
85	HOW	FAR	WOULD
85	HER	OWN	BLOOD
85	FOR	THIS	FIND(I)NG
85	FOR	THIS	CHILD
85	DID	YOU	SHOOT
85	DID	YOU	CHA(I)NGE
85	CAN	NOT	TRUST
85	BUT	THAT	REALLY
85	AND	OUR	NATION
85	AND	BR(I)NG	ABOUT
85	NOT	BUY	ANYTH(I)NG
84	YOU	CAN	TASTE
84	WHO	WAS	TACEN
84	WHO	WAS	PLAY(I)NG
84	WHO	WAS	GETT(I)NG
84	WAY	WITH	WORDS
84	TH(I)NGS	YOU	MIGHT
84	TH(I)NGS	GOT	WORSE
84	SEE	THAT	PEOPLE
84	HAS	NOT	MOUED
84	HAS	NOT	FOUND
84	HAD	NOT	LICED
84	GOT	HIS	HANDS
84	GET	ANY	EASIER
84	DOES	NOT	COUNT
84	DID	NOT	FOCUS
84	DID	NOT	COUER
84	BUT	WAS	NEUER
84	BOTH	HER	HANDS
84	ARE	TOO	CLOSE
84	AND	YOU	OUGHT
84	AND	YOU	FOUND
84	AND	THEN	APPLY
84	AND	ITS	FIRST
84	AND	HAD	GIUEN
83	WITH	OUR	HANDS
83	WHO	HAS	MOUED
83	WHO	ARE	SITT(I)NG
83	WHO	ARE	PLAY(I)NG
83	WAY	YOU	MIGHT
83	THAN	SIX	HOURS
83	SAW	HIS	MOTHER
83	OUT	THAT	PEOPLE
83	NOT	ALL	WOMEN
83	HAD	NOT	TRIED
83	GOT	TOO	CLOSE
83	GET	OUR	HANDS
83	FOR	THIS	PAPER
83	DID	YOU	CHECC
83	DAY	SHE	WOULD
83	BUT	SHE	LOOCS
83	BUT	NOT	OTHERS
83	BUT	HIS	WORDS
83	BUT	BOTH	SIDES
83	AND	WAS	CNOWN
83	AND	THIS	REALLY
83	AND	THEN	HEADED
83	AND	ONE	COULD
83	AND	HIS	WHITE
83	AND	HIS	SMILE
83	AND	HER	PEOPLE
83	AND	HAS	BEGUN
82	YOU	GOT	ANYTH(I)NG
82	YOU	GET	STUCC
82	WITH	HIS	CNEES
82	WITH	HIS	BLACC
82	WITH	HIM	SINCE
82	WITH	HIM	EUERY
82	THAT	OUR	PEOPLE
82	THAT	ARE	GIUEN
82	SHE	WAS	SEATED
82	SAY	THEY	STILL
82	ONE	WHO	REALLY
82	NOT	YET	FOUND
