Count from total of 46030908 word 4-grams
1349	THANCS	FOR	BE(I)NG	WITH
16	WOMEN	WHO	ARE	NOW
16	WOMEN	WHO	ARE	GO(I)NG
16	WOMEN	AND	MEN	AND
16	WHILE	THEY	DID	NOT
16	WHICH	WAY	ARE	YOU
16	WHICH	WAS	WHY	THEY
16	WHICH	THEY	ARE	BE(I)NG
16	WHICH	SHE	DOES	NOT
16	WHICH	ONE	DID	YOU
16	WHERE	YOU	SAY	YOU
16	WHERE	SHE	WAS	NOW
16	WHERE	SHE	WAS	NOT
16	WHERE	DOES	SHE	GET
16	WATCH	OUT	FOR	YOU
16	WALLS	ARE	HU(I)NG	WITH
16	UNTIL	ALL	THAT	WAS
16	THOUGH	THAT	DOES	NOT
16	THOUGH	SHE	DOES	NOT
16	SINCE	THEN	SHE	HAD
16	SINCE	SHE	WAS	SIX
16	RIGHT	NOW	YOU	ARE
16	RIGHT	AND	WHO	WAS
16	REASON	FOR	DO(I)NG	THIS
16	RATHER	THAN	LET	THEM
16	PLATE	AND	TOP	WITH
16	PLACE	THAT	YOU	CAN
16	PHONE	WAS	R(I)NG(I)NG	OFF
16	PEOPLE	WHO	DID	THAT
16	PEOPLE	SAY	THAT	THIS
16	PEOPLE	HOW	THEY	CAN
16	PEOPLE	FOR	WHO	THEY
16	OTHERS	WHO	MAY	NOT
16	OTHERS	WHO	ARE	GO(I)NG
16	OLDER	THAN	THEY	ARE
16	LOUED	HER	AND	THAT
16	LO(I)NGER	THAN	SHE	HAD
16	LIGHT	OIL	AND	GAS
16	LATER	THAT	SHE	HAD
16	HOUSE	AND	DID	NOT
16	HOPED	SHE	HAD	NOT
16	GROUP	HAS	ITS	OWN
16	GIUEN	HER	FOR	HER
16	GASP(I)NG	FOR	AIR	AND
16	FOLCS	WHO	ARE	GO(I)NG
16	F(I)NGERS	AND	TOES	AND
16	FATHER	AND	SON	WHO
16	COULD	SEE	WAS	HIS
16	COULD	DEAL	WITH	THAT
16	COULD	NOT	YOU	SEE
16	BLAME	HIM	FOR	THAT
16	ASCED	HOW	SHE	WAS
16	ASCED	HIM	HOW	HIS
16	ANYTH(I)NG	THAT	DOES	NOT
16	ANYTH(I)NG	SHE	DID	NOT
16	AGAIN	FOR	BE(I)NG	WITH
16	ABOUT	WHY	THEY	ARE
16	ABOUT	WHY	AND	HOW
16	ABOUT	THIS	MAN	WHO
16	ABOUT	THIS	IDEA	THAT
15	WOULD	YOU	SAY	WAS
15	WOULD	THAT	MEAN	FOR
15	WOULD	PAY	FOR	THAT
15	WOULD	NOT	SAY	WHY
15	WORST	TH(I)NGS	YOU	CAN
15	WORLD	ARE	YOU	DO(I)NG
15	WOMEN	WHO	ARE	BE(I)NG
15	WOMEN	ARE	NOT	GO(I)NG
15	WOMEN	AND	MEN	CAN
15	WOMEN	AND	HOW	THEY
15	WOMEN	AND	GAY	MEN
15	WHILE	THAT	MAY	NOT
15	WHICH	WAS	NOT	ALL
15	WHICH	THEY	MAY	NOT
15	WHICH	THEY	ARE	NOW
15	WHICH	HAS	HAD	ITS
15	WHERE	WAS	ALL	THIS
15	WATCH	OUT	FOR	EACH
15	UOICE	THAT	DID	NOT
15	UNTIL	THEY	RAN	OUT
15	UNTIL	ONE	DAY	SHE
15	THOUGH	THIS	MAY	NOT
15	TELL(I)NG	YOU	THAT	THEY
15	TACES	HER	ARM	AND
15	STILL	SHE	DID	NOT
15	STILL	DID	NOT	SAY
15	STATE	THAT	DOES	NOT
15	SPREAD	HIS	W(I)NGS	AND
15	SINCE	THEY	HAD	NOT
15	SHARP	EYE	OUT	FOR
15	RIGHT	NOW	THAT	THEY
15	RIGHT	NOW	AND	SAY
15	POINT	OUT	THAT	THAT
15	PEOPLE	WHO	SAY	THIS
15	PEOPLE	THAT	YOU	HAD
15	PEOPLE	THAT	THIS	WAS
15	PEOPLE	THAT	DID	THIS
15	PEOPLE	DID	NOT	SEE
15	PEOPLE	ARE	DO(I)NG	TH(I)NGS
15	PEOPLE	ARE	DO(I)NG	THAT
15	PAUS(I)NG	NOW	AND	THEN
15	PARTS	ONE	AND	TWO
15	NOTED	THAT	SHE	WAS
15	NIGHT	AND	DAY	FOR
15	MONTHS	AND	ONE	DAY
15	LOWER	THAN	THAT	FOR
15	LATER	THIS	YEAR	WITH
15	FIRST	ONE	WAY	AND
15	FEELS	THAT	SHE	HAS
15	FATHER	AND	SON	HAD
15	FATHER	AND	HIS	SON
15	CRIME	DOES	NOT	PAY
15	COULD	SAY	THAT	THIS
15	COULD	NOT	GET	THEM
15	COULD	NOT	USE	THEM
15	COULD	NOT	SEE	WHY
15	COULD	NOT	READ	THEM
15	COULD	NOT	READ	HER
15	COULD	NOT	LET	THIS
15	COULD	NOT	HEAR	HIS
15	COULD	NOT	GET	ALL
15	CNOWN	THAT	SHE	HAD
15	CNOW(I)NG	WHO	THEY	ARE
15	CNOW(I)NG	THAT	THEY	CAN
15	BLAME	YOU	FOR	THAT
15	ASCED	FOR	AND	GOT
15	ANYTH(I)NG	THAT	HAS	NOT
15	AGREE	WITH	HER	THAT
15	AFTER	THEY	GET	OUT
15	ABOUT	YOU	THAN	YOU
15	ABOUT	WHY	SHE	WAS
15	ABOUT	WHO	SHE	WAS
15	ABOUT	HOW	YOU	GET
15	ABOUT	HOW	SHE	AND
15	ABOUT	HIS	NEW	JOB
15	ABOUT	HIM	THAT	YOU
14	WOULD	GET	OUT	AND
14	WOULD	DEAL	WITH	THAT
14	WORSE	OFF	THAN	YOU
14	WORCS	OUT	FOR	YOU
14	WORCS	FOR	YOU	AND
14	WOMAN	WITH	HER	OWN
14	WOMAN	WHO	HAS	NOT
14	WOMAN	WHO	HAD	HER
14	WHITE	MAN	WHO	WAS
14	WHILE	THIS	MAY	NOT
14	WHILE	SHE	WAS	NOT
14	WHICH	YOU	ARE	NOT
14	WHICH	WAS	NOT	EASY
14	WHERE	YOU	CAN	USE
14	WHERE	THEY	MAY	NOT
14	WHERE	DID	ALL	THIS
14	WEECS	AGO	THAT	THEY
14	WATCH	AND	SAW	THAT
14	WAIT(I)NG	FOR	HIM	WITH
14	UNTIL	YOU	HEAR	WHO
14	THOUGH	THIS	WAS	NOT
14	THOUGH	THIS	WAS	NOT
14	THINCS	THAT	THEY	CAN
14	THINC(I)NG	THAT	YOU	ARE
14	THINC(I)NG	THAT	SHE	WAS
14	TURN(I)NG	THIS	WAY	AND
14	TIMES	WITH	EACH	LEG
14	TELL(I)NG	YOU	ALL	THIS
14	TELL(I)NG	HIM	THAT	THEY
14	STILL	DID	NOT	SEE
14	START	WITH	THIS	ONE
14	SORRY	THAT	SHE	HAD
14	SHOOC	HIS	HEAD	BUT
14	SEEMS	THAT	THEY	ARE
14	RINSE	AND	PAT	DRY
14	REASON	WHY	THEY	DID
14	REASON	FOR	THIS	MAY
14	PROUE	THAT	SHE	WAS
14	PROOF	THAT	SHE	WAS
14	POINT	THAT	THIS	WAS
14	PHONE	RA(I)NG	AND	SHE
14	PEOPLE	WHO	THEY	ARE
14	PEOPLE	WHO	SAY	YOU
14	PEOPLE	WHO	ARE	WITH
14	PEOPLE	THAT	DID	NOT
14	PEOPLE	SHE	DOES	NOT
14	PEOPLE	ARE	DY(I)NG	AND
14	PEOPLE	ARE	NOT	DO(I)NG
14	NOTION	THAT	THIS	WAS
14	NOTED	THAT	THEY	HAD
14	NIGHT	THAT	SHE	WAS
14	MOTHER	THAT	SHE	WAS
14	MONEY	AND	DID	NOT
14	MAYBE	ONE	DAY	YOU
14	LOOC(I)NG	OUT	FOR	THEM
14	LOOC(I)NG	OUT	FOR	HIM
14	LIUED	WITH	HER	FOR
14	LIFTS	HIS	HEAD	AND
14	LATER	THIS	YEAR	FOR
14	GUESS	SHE	DOES	NOT
14	GROUP	THAT	DOES	NOT
14	FIRST	THEY	DID	NOT
14	FIGHT	HIS	WAY	OUT
14	FEEL(I)NG	THAT	YOU	GET
14	FEEL(I)NG	THAT	YOU	CAN
14	FATHER	AND	HIS	NEW
14	EUERY	WAY	THEY	CAN
14	EUERY	DAY	FOR	THAT
14	EUERY	DAY	AND	SHE
14	DRILL	OUR	WAY	OUT
14	DOUBT	THAT	THAT	WAS
14	COULD	USE	THEM	FOR
14	COULD	SEE	THAT	NOW
14	COULD	SEE	SHE	HAD
14	COULD	SAY	THAT	SHE
14	COULD	NOT	GET	HER
14	COULD	GET	THEM	OUT
14	COULD	GET	HIM	OUT
14	COULD	NOT	USE	HIS
14	COULD	NOT	SHE	SEE
14	COULD	NOT	SEE	EACH
14	COULD	NOT	SAY	HOW
14	COULD	NOT	PAY	HIS
14	COULD	NOT	GET	YOU
14	COULD	NOT	GET	NEAR
14	COMES	OUT	WITH	THIS
14	CLAIM	THAT	THEY	HAD
14	CLAIM	THAT	THEY	CAN
14	CLAIM	THAT	SHE	HAD
14	BOWLS	AND	TOP	WITH
14	ASCED	WHY	THEY	DID
14	ASCED	THAT	HIS	REAL
14	ARGU(I)NG	THAT	THEY	ARE
14	ARGUE	THAT	THIS	WAS
14	AFTER	ALL	THAT	HAS
14	ABOUT	THAT	AND	THAT
14	ABOUT	HIS	OWN	AGE
14	ABOUT	HIS	JOB	AND
14	ABOUT	HER	WAS	THAT
14	ABOUT	ALL	THAT	WAS
13	WOULD	NOT	GET	OUT
13	WOULD	NOT	DEAL	WITH
13	WOULD	NOT	THAT	MEAN
13	WOULD	NOT	SEE	HIS
13	WOULD	NOT	PUT	THEM
13	WOULD	NOT	DEAL	WITH
13	WOULD	NOT	ASC	YOU
13	WOULD	NOT	ASC	FOR
13	WORLD	THAT	DID	NOT
13	WOMEN	WHO	ARE	OUT
13	WOMEN	AND	MEN	HAD
13	WHITE	MAN	WHO	HAD
13	WHILE	THEY	ARE	BE(I)NG
13	WHICH	WAS	ALL	THAT
13	WHICH	ONE	DOES	NOT
13	WHERE	YOU	GET	THAT
13	WHERE	SHE	MET	WITH
13	WHERE	SHE	HAD	PUT
13	WHERE	SHE	GOT	THAT
13	WHERE	DOES	THAT	LEAD
13	WHERE	DID	THEY	ALL
13	WHERE	ARE	YOU	ALL
13	WAIT(I)NG	FOR	THAT	ONE
13	UOICE	THAT	SHE	WAS
13	UNTIL	YOU	RUN	OUT
13	UNTIL	YOU	GET	OUT
13	UNTIL	THEN	SHE	HAD
13	THINC(I)NG	THAT	THEY	ARE
13	THANCS	FOR	DO(I)NG	THIS
13	TURNS	OUT	THAT	HIS
13	TIMES	AND	DID	NOT
13	TELLS	HIM	THAT	SHE
13	TELL(I)NG	HIM	THAT	YOU
13	TABLE	WAS	SET	FOR
13	STATE	THAT	THEY	ARE
13	STATE	FOR	NEAR	EAST
13	SINCE	THEY	ARE	NOT
13	SHOWS	THAT	YOU	ARE
13	SHOW(I)NG	THAT	THEY	CAN
13	RIGHT	NOW	TH(I)NGS	ARE
13	RIGHT	FOR	YOU	AND
13	REASON	THAN	THAT	THEY
13	REALLY	WAS	NOT	ALL
13	REALLY	DOES	NOT	GET
13	POINT	THAT	SHE	WAS
13	POINT	OUT	THAT	FOR
13	POCES	HER	HEAD	OUT
13	PLACE	THAT	WAS	NOT
13	PLACE	FOR	TOO	LO(I)NG
13	PHONE	RA(I)NG	AND	RA(I)NG
13	PEOPLE	YOU	DID	NOT
13	PEOPLE	WHO	PAY	FOR
13	PEOPLE	WHO	ARE	ALL
13	PEOPLE	THEY	DID	NOT
13	PEOPLE	ARE	NOT	THAT
13	PEOPLE	ARE	GO(I)NG	OUT
13	PEOPLE	AND	ASC	THEM
13	OTHERS	WHO	DID	NOT
13	OFTEN	THEY	ARE	NOT
13	NOTION	THAT	SHE	WAS
13	NIGHT	AND	ALL	DAY
13	NEEDS	THAT	ARE	NOT
13	MUSIC	AND	ART	AND
13	MORN(I)NG	AND	SHE	WAS
13	MONTHS	AND	ONE	YEAR
13	MONEY	THAT	THEY	CAN
13	MAYBE	THAT	DOES	NOT
13	MAJOR	OIL	AND	GAS
13	LO(I)NGER	THAN	THEY	DID
13	LIFTS	HER	HEAD	AND
13	LICED	AND	DID	NOT
13	HOPED	THAT	ONE	DAY
13	HELP(I)NG	HER	WITH	HER
13	GIUEN	HIM	FOR	HIS
13	GETT(I)NG	HIS	OWN	WAY
13	FOUND	THAT	THEY	ALL
13	FOUND	OUT	THEY	HAD
13	FOUND	OUT	THAT	WAS
13	FOUND	OUT	THAT	THAT
13	FIRST	AND	THEN	YOU
13	FIND(I)NG	THAT	THEY	CAN
13	FACED	HIS	OWN	DEATH
13	EUERY	DAY	YOU	GET
13	EUERY	DAY	WITH	HIS
13	DRAIN	AND	PAT	DRY
13	DOUBT	THAT	THEY	ARE
13	COULD	YOU	LET	THIS
13	COULD	SEE	THEM	NOW
13	COULD	SEE	HOW	THAT
13	COULD	SAY	THAT	THEY
13	COULD	NOT	HEAR	HER
13	COULD	NOT	GET	HIS
13	COULD	HA(I)NG	OUT	WITH
13	COULD	NOT	ASC	HER
13	COUER	AND	LET	SIT
13	CNOWS	SHE	DOES	NOT
13	CNOW(I)NG	THAT	ONE	DAY
13	BLAME	THEM	FOR	THAT
13	BLACC	MAN	WHO	HAS
13	ASCED	WHY	SHE	DID
13	ASCED	HIM	HOW	LO(I)NG
13	ASCED	HER	OUT	FOR
13	ARMED	WITH	THIS	NEW
13	AGREE	WITH	HIM	AND
13	AFTER	SHE	GOT	HER
13	AFTER	HIS	SON	WAS
13	ADMIT	THAT	THEY	HAD
13	ABOUT	YOU	AND	YOU
13	ABOUT	HOW	YOU	SEE
13	ABOUT	HOW	THEY	GOT
13	ABOUT	HOW	LO(I)NG	THEY
13	ABOUT	HIM	AND	HOW
